제목,상품코드,상품ID,리뷰_내용,평점,감정키워드,작성자,작성일,도움됨,댓글수
트렌드 코리아 2026,9791193638859,S000217467412,"새벽에 일어나보니 책이 벌써 도착!
매번 느끼는거지만 너무 고맙습니다!",4,최고예요,qk*****,2025-09-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년 트랜드에 대한 것을 알수있어요.,3,도움돼요,pd*****,2025-09-25,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년마다 구매하는 필수 책 입니다.
가을쯤 되면 항상 책이 기다려 지네요 ㅎㅎ",3,추천해요,gk*****,2025-09-25,0,0
트렌드 코리아 2026,9791193638859,S000217467412,해마다 기다렸다 예약구매하여 읽는데 올해도 어김없이…,4,추천해요,la******,2025-09-25,0,0
트렌드 코리아 2026,9791193638859,S000217467412,감사힙니다! 잘 읽을께요!,4,집중돼요,ta********,2025-09-25,0,0
트렌드 코리아 2026,9791193638859,S000217467412,필요한 책 바로 구입해서 좋아요,4,도움돼요,im******,2025-09-25,0,0
트렌드 코리아 2026,9791193638859,S000217467412,기대됩니다. 이번 2026도.,4,최고예요,hu********,2025-09-19,0,0
트렌드 코리아 2026,9791193638859,S000217467412,해마다 기대되고 기다려지는 트렌드코리아,4,추천해요,ss*******,2025-09-13,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 읽겠습니다.,4,추천해요,ya*****,2025-09-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 유익하게 읽는 도서입니다.,4,도움돼요,ss*****,2025-09-11,0,0
